currency,pathway,quarter,p05,p10,p25,p50,p75,p90,p95
USD,demonstration,2030Q1,49.52758793912613,50.72446206153387,52.662572578368994,54.794246654134355,56.952849541507746,58.84310414466107,59.98003994828988
USD,demonstration,2030Q2,49.22181952694488,50.505340984111484,52.484680510704266,54.71189328029476,56.904948858530496,58.784076096156355,59.96568144881698
USD,demonstration,2030Q3,48.9210877169593,50.217600302832935,52.28637750544504,54.580297441431114,56.85440378883311,58.80650446006154,60.0601431888151
USD,demonstration,2030Q4,48.63559585166267,49.92752899119021,52.08901367660236,54.47898954961584,56.80064926346384,58.79492748087336,60.09661549312686
USD,demonstration,2031Q1,48.33835463214656,49.64002024557726,51.871376997452494,54.33247638791808,56.774999352417936,58.815749664567676,60.136477489066856
USD,demonstration,2031Q2,47.97478713868311,49.33966814982464,51.68387866431032,54.18202972497647,56.70900323560613,58.84257314954379,60.144693133273144
USD,demonstration,2031Q3,47.68801238420781,49.121827161445836,51.4550797624186,54.081969093227364,56.62883076239426,58.871897643144116,60.23842694916009
USD,demonstration,2031Q4,47.273031742931565,48.84957380260398,51.260836207666145,53.9665728953813,56.62040518901216,58.91838257169715,60.28785572673013
USD,demonstration,2032Q1,47.00891990947248,48.52489082518625,51.10317919628221,53.82335194622999,56.53296234787154,58.88945069914966,60.3678452236748
USD,demonstration,2032Q2,46.61535127801614,48.16994834206871,50.82168847381759,53.63184392646181,56.415920822051106,58.881521417165764,60.43424317700148
USD,demonstration,2032Q3,46.29225532692797,47.89330630223959,50.591007631229246,53.484264636663454,56.32388172986594,58.82163270990946,60.39673202451498
USD,demonstration,2032Q4,45.94254570291403,47.5790629424984,50.361226498598285,53.311436663036474,56.22277293497164,58.76026426739344,60.40183791927386
USD,demonstration,2033Q1,45.59533736165134,47.25891460413316,50.09707598757095,53.15557502618418,56.13353718106621,58.77559964643085,60.46348337312503
USD,demonstration,2033Q2,45.23775415653606,47.01004980301868,49.886376443833065,52.97509730283004,56.08313302535212,58.76561547905688,60.31352581101412
USD,demonstration,2033Q3,44.882448288501394,46.81675207419743,49.6207117268749,52.82314000528535,55.95688892374628,58.71641038682117,60.3471803140456
USD,demonstration,2033Q4,44.62269389241474,46.45666958988106,49.395970523821944,52.677568935494726,55.88222999484026,58.71527198971195,60.46633655958452
