pathway,block,year,p05,p10,p25,p50,p75,p90,p95
retrenchment,NATO Europe,2029,491776.1,508689.7,536079.7,570465.4,609826.2,651809.7,683282.0
retrenchment,Hedging middle powers,2029,213093.3,224136.7,244255.1,267281.9,292322.5,318601.0,339318.2
retrenchment,United States,2029,604147.3,634622.4,687507.6,755612.6,840101.2,962602.9,1156384.5
retrenchment,China,2029,344073.8,360885.1,389106.2,412256.1,443080.2,470925.1,491424.4
retrenchment,Rest of world,2029,363239.9,385359.4,417789.8,459479.0,503198.6,543841.0,568464.1
retrenchment,Indo-Pacific allies,2030,177514.4,180815.0,186808.5,193639.8,200552.1,206917.9,211032.0
retrenchment,NATO Europe,2030,481483.5,500676.6,533592.5,573391.7,618199.4,667427.3,700276.2
retrenchment,Hedging middle powers,2030,208888.9,221408.2,243552.3,270100.4,300119.8,331695.1,354107.0
retrenchment,United States,2030,558708.8,590390.7,646569.7,720290.6,817450.6,970871.3,1170234.2
retrenchment,China,2030,355577.6,374418.7,405758.8,434773.1,470218.7,506273.2,528421.6
retrenchment,Rest of world,2030,374085.4,397546.9,436530.5,484423.3,534448.7,584597.9,614604.2
retrenchment,Indo-Pacific allies,2031,178931.4,182830.6,189480.7,197344.7,205227.6,212609.1,217274.4
retrenchment,NATO Europe,2031,472261.3,494156.5,531137.5,577697.4,629596.0,684982.7,721405.8
retrenchment,Hedging middle powers,2031,205088.8,219273.3,243707.2,274305.7,308543.7,344513.9,369980.4
retrenchment,United States,2031,519517.0,549336.9,609045.4,685955.8,792186.9,968448.5,1163058.1
retrenchment,China,2031,368391.3,388023.2,423028.3,458403.2,499074.5,540335.8,565330.9
retrenchment,Rest of world,2031,386693.6,411853.4,455641.8,511428.6,569852.0,627809.3,662110.7
retrenchment,Indo-Pacific allies,2032,180407.4,184807.6,192324.2,200976.6,209788.8,218287.3,223339.1
retrenchment,NATO Europe,2032,463703.5,488244.2,530582.5,581243.2,639297.8,700131.4,737314.9
retrenchment,Hedging middle powers,2032,201598.8,217204.7,244921.8,278145.0,316262.0,356794.2,384630.7
retrenchment,United States,2032,481824.4,513162.2,574851.7,656420.6,771420.8,966186.9,1151588.7
retrenchment,China,2032,382194.5,403087.1,441794.7,483915.3,530008.4,576476.0,605554.9
retrenchment,Rest of world,2032,398758.8,428030.7,477087.3,539288.5,606424.3,673384.3,714153.3
retrenchment,Indo-Pacific allies,2033,181938.6,186826.4,195215.5,204832.2,214745.9,223704.2,229601.7
retrenchment,NATO Europe,2033,455643.8,481609.4,528993.6,585422.2,649007.2,715463.8,756858.3
retrenchment,Hedging middle powers,2033,199286.5,216400.0,245563.2,282486.3,325768.5,371488.8,399214.2
retrenchment,United States,2033,447476.7,479522.5,542474.2,626942.5,751072.7,962896.2,1134740.4
retrenchment,China,2033,396076.5,420560.7,461178.6,510366.3,562461.4,615142.9,649292.9
retrenchment,Rest of world,2033,412239.1,443577.4,499800.9,567262.3,643885.0,722631.0,770433.2
retrenchment,Indo-Pacific allies,2034,184037.2,189189.0,198292.6,208614.6,219681.9,229693.0,235885.3
retrenchment,NATO Europe,2034,447274.2,477433.5,529234.2,589072.4,658631.4,731184.9,778779.6
retrenchment,Hedging middle powers,2034,196892.4,214697.3,246380.6,286526.9,334082.2,383126.4,416800.3
retrenchment,United States,2034,417547.5,451528.7,512765.3,598762.7,727811.5,942653.1,1114455.0
retrenchment,China,2034,411226.2,437561.0,483266.9,537390.9,596001.9,655483.1,693055.5
retrenchment,Rest of world,2034,428960.6,461924.6,524166.7,600242.0,687151.5,770278.7,827993.1
retrenchment,Indo-Pacific allies,2035,185787.6,191174.6,201404.8,212839.2,224380.3,235842.0,242356.1
retrenchment,NATO Europe,2035,439874.4,473896.5,527260.6,593000.0,668343.8,745364.0,794596.8
retrenchment,Hedging middle powers,2035,194319.3,212260.2,248201.7,291269.2,342829.4,396764.1,433194.0
retrenchment,United States,2035,390365.1,422537.4,485839.2,572303.8,707452.2,926944.9,1091470.5
retrenchment,China,2035,426554.3,455989.0,507335.8,566236.2,632213.7,697152.5,739179.2
retrenchment,Rest of world,2035,444178.5,481475.6,548940.1,632340.5,728683.9,827440.0,889233.8
demonstration,Indo-Pacific allies,2026,173459.1,175708.0,177115.3,178901.7,182392.3,184860.5,185515.1
demonstration,NATO Europe,2026,536656.9,541206.9,549839.0,563192.8,573697.2,584422.2,623146.6
demonstration,Hedging middle powers,2026,232322.9,236587.0,246280.9,258548.0,264932.0,269119.1,272964.0
demonstration,United States,2026,845909.0,865619.5,895563.7,922779.0,965655.2,1018913.6,1074387.0
demonstration,China,2026,314268.6,339884.8,345929.4,351132.2,358539.1,384252.0,392732.2
demonstration,Rest of world,2026,341167.0,348270.7,377669.6,392269.8,402773.3,429386.2,440598.3
demonstration,Indo-Pacific allies,2027,174994.0,176802.0,179785.0,183532.4,187446.3,191122.0,193141.1
demonstration,NATO Europe,2027,526289.8,535718.0,551578.8,570460.3,593813.5,625623.7,644957.4
demonstration,Hedging middle powers,2027,226470.7,234319.1,247529.9,263660.6,277197.4,290032.3,310502.6
demonstration,United States,2027,800064.6,827591.3,871444.6,924075.0,985064.5,1070055.1,1181508.5
demonstration,China,2027,320501.2,343400.4,359088.0,369572.3,389435.8,410845.8,418074.8
demonstration,Rest of world,2027,352676.4,362883.2,388348.7,413294.0,437178.2,463901.0,477479.2
demonstration,Indo-Pacific allies,2028,176504.1,178960.6,182873.2,187615.6,192625.5,197193.3,200220.3
demonstration,NATO Europe,2028,523864.5,538086.9,561085.7,589054.1,625260.5,663414.9,690590.9
demonstration,Hedging middle powers,2028,226901.6,236575.6,253539.0,273656.9,294521.4,319112.5,339597.6
demonstration,United States,2028,773060.8,804311.9,858555.1,921696.8,1006619.8,1126561.0,1327275.0
