ally,year,pct_gdp,estimate,source
Estonia,2020,2.26,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2021,2.02,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2022,2.14,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2023,2.98,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2024,3.31,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2025,3.93,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Estonia,2026,5.1,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2014,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2015,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2016,1.43,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2017,1.39,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2018,1.4,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2019,1.46,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2020,1.54,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2021,1.41,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2022,1.69,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2023,2.12,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2024,2.11,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2025,2.75,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
Finland,2026,2.65,True,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2014,1.82,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2015,1.78,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2016,1.79,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2017,1.78,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2018,1.81,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2019,1.82,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2020,1.99,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2021,1.9,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2022,1.87,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2023,1.88,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
France,2024,2.04,False,"NATO, Defence Expenditure of NATO Countries, 2026 edition, Table 3"
