ccy,measure,quarter,value,date,source
OTHER,share_pct,2023-Q1,3.98167490959168,2023-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,claims_usd_m,2023-Q1,12000941.8033504,2023-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
TOTAL,share_pct,2023-Q1,100.0,2023-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,claims_usd_m,2023-Q1,7215338.09318053,2023-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
USD,share_pct,2023-Q1,60.1231002807617,2023-03-31,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,claims_usd_m,2023-Q2,228411.365435579,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
AUD,share_pct,2023-Q2,1.8989382982254,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,claims_usd_m,2023-Q2,296683.621526344,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CAD,share_pct,2023-Q2,2.46653175354004,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,claims_usd_m,2023-Q2,23395.3852262183,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CHF,share_pct,2023-Q2,0.194501668214798,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,claims_usd_m,2023-Q2,297677.270520502,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
CNY,share_pct,2023-Q2,2.47479271888733,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,claims_usd_m,2023-Q2,2275737.70719578,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
EUR,share_pct,2023-Q2,18.9197483062744,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
GBP,claims_usd_m,2023-Q2,564939.156737311,2023-06-30,"IMF COFER (IMF.STA COFER 7.0.1, retrieved 2026-07-24)"
