quarter,ccy,flow_share_pct,source
2025-Q1,USD,28.311326533019265,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q2,USD,8.029735358618048,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q3,USD,4.594651934716975,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2025-Q4,USD,17.508205322735293,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q2,EUR,-1.1000631770715423,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q3,EUR,18.65441786174322,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
1999-Q4,EUR,3.8298849950309686,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q1,EUR,6.0387347004187975,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q2,EUR,13.295763779839568,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q3,EUR,-5.640200840634348,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2000-Q4,EUR,25.155376062992417,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q1,EUR,-157.93919923929695,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q2,EUR,1.2268355492571337,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q3,EUR,17.15124027042853,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2001-Q4,EUR,31.44038418381838,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q1,EUR,29.422869518005562,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q2,EUR,17.038696585021583,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q3,EUR,27.01331646900741,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2002-Q4,EUR,32.20080475760009,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q1,EUR,7.998723039431678,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q2,EUR,15.122766929231126,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q3,EUR,7.744275094433367,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2003-Q4,EUR,14.87125538166317,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q1,EUR,3.4907864057581164,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q2,EUR,10.246266179333599,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q3,EUR,18.052033841535255,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2004-Q4,EUR,16.91040659733709,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q1,EUR,11.08670071505193,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q2,EUR,3.9212875808195697,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q3,EUR,5.345719531953262,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2005-Q4,EUR,5.174916172206826,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q1,EUR,13.62548695932616,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q2,EUR,14.394067144882241,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q3,EUR,6.404019246168473,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2006-Q4,EUR,15.750448997136745,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q1,EUR,16.871542316770917,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q2,EUR,8.290930588684287,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q3,EUR,19.381045531632687,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2007-Q4,EUR,8.193372561398887,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q1,EUR,11.279811873808908,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q2,EUR,12.374132121935876,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2008-Q3,EUR,-95.26585963654303,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q2,EUR,19.442403361500425,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q3,EUR,13.366797171279387,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2009-Q4,EUR,10.152695008634904,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q1,EUR,4.5432891000955555,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q2,EUR,-14.760843070468619,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q3,EUR,14.353259754865514,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2010-Q4,EUR,4.559670660184077,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q1,EUR,9.624311106492915,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q2,EUR,13.164657774374422,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q3,EUR,-24.642232716263308,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2011-Q4,EUR,-60.19853298093453,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q1,EUR,11.385670918375006,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q2,EUR,16.60126161117586,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q3,EUR,0.4288166298856988,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2012-Q4,EUR,14.225256795072639,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q1,EUR,-6.373371071479098,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q2,EUR,24.598072155478405,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q3,EUR,13.780626167628299,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2013-Q4,EUR,14.549661030859781,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2014-Q1,EUR,22.586633604620207,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2014-Q2,EUR,3.606141824807121,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2015-Q2,EUR,17.314155418284535,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q1,EUR,6785.009430901738,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q2,EUR,-32.65669047894389,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2016-Q3,EUR,23.955499264818787,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q1,EUR,11.919854564529405,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q2,EUR,26.830174491691583,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q3,EUR,12.563215100714006,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2017-Q4,EUR,10.868740515710233,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q1,EUR,14.0266333940034,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2018-Q4,EUR,83.04883458109482,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q1,EUR,-5.685321156101426,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q2,EUR,22.89492564524578,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2019-Q4,EUR,19.740575426583668,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q2,EUR,12.399065524311533,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q3,EUR,20.287035323406712,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2020-Q4,EUR,19.65313961566836,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q2,EUR,12.077405087685696,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q3,EUR,-5.739237758404489,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2021-Q4,EUR,12.727509499975783,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2022-Q4,EUR,23.534016888212225,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q1,EUR,-40.60902157709832,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q2,EUR,46.60851112920291,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
2023-Q4,EUR,13.288847058912886,Derived from IMF COFER allocated claims; each currency's share of the quarterly change in total allocated claims
